venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Tropicana Field,12,2,0,17,9628,72,232,May 26, 2015,
Miller Park,32,4,0,13,35492,74,187,May 26, 2015,
Progressive Field,5,4,0,17,11352,82,186,May 26, 2015,
Wrigley Field,17,4,0,10,30440,71,153,May 26, 2015,
Busch Stadium,2889,3,0,19,43715,82,199,May 27, 2015,
Dodger Stadium,22,2,0,13,37837,67,178,May 27, 2015,
Target Field,3312,4,0,5,30027,73,149,May 27, 2015,
Rogers Centre,14,1,1,21,15463,66,211,May 27, 2015,
Great American Ball Park,2602,4,0,11,23917,78,166,May 27, 2015,
O.co Coliseum,10,1,2,15,20387,56,186,May 27, 2015,
Oriole Park at Camden Yards,2,4,0,13,16401,74,146,May 27, 2015,
Yankee Stadium,3313,3,0,16,32734,77,162,May 27, 2015,
PNC Park,31,2,1,15,33238,73,158,May 27, 2015,
Citi Field,3289,4,0,13,24406,77,161,May 27, 2015,
Angel Stadium of Anaheim,1,2,0,13,36180,70,171,May 27, 2015,
Tropicana Field,12,1,0,4,10365,72,133,May 27, 2015,
Miller Park,32,1,2,11,35208,72,180,May 27, 2015,
Progressive Field,5,5,1,12,15956,79,167,May 27, 2015,
Wrigley Field,17,2,0,19,34215,70,180,May 27, 2015,
AT&T Park,2395,1,1,10,41040,59,151,May 28, 2015,
Globe Life Park in Arlington,13,1,1,15,34085,82,169,May 28, 2015,
Oriole Park at Camden Yards,2,1,0,10,0,84,171,May 28, 2015,
Oriole Park at Camden Yards,2,2,1,14,18441,83,168,May 28, 2015,
Safeco Field,680,3,0,14,19449,80,170,May 28, 2015,
Angel Stadium of Anaheim,1,3,1,11,32261,69,187,May 28, 2015,
O.co Coliseum,10,3,0,13,21795,54,170,May 28, 2015,
Petco Park,2680,3,0,13,23104,65,185,May 28, 2015,
Miller Park,32,6,0,18,34276,74,203,May 29, 2015,
AT&T Park,2395,2,0,13,41311,55,156,May 29, 2015,
Globe Life Park in Arlington,13,3,1,10,38176,79,179,May 29, 2015,
Minute Maid Park,2392,1,0,19,25957,73,248,May 29, 2015,
Safeco Field,680,1,1,9,32454,76,144,May 29, 2015,
Citizens Bank Park,2681,3,0,7,22227,86,152,May 29, 2015,
Angel Stadium of Anaheim,1,1,0,13,41901,72,166,May 29, 2015,
Wrigley Field,17,5,0,11,34273,77,189,May 29, 2015,
Busch Stadium,2889,0,0,17,44223,76,178,May 29, 2015,
Citi Field,3289,3,0,6,33880,72,128,May 29, 2015,
O.co Coliseum,10,2,0,13,23540,54,169,May 29, 2015,
Petco Park,2680,1,0,14,28317,65,196,May 29, 2015,
Oriole Park at Camden Yards,2,2,0,12,45505,79,163,May 29, 2015,
Target Field,3312,2,0,6,24509,58,135,May 29, 2015,
Great American Ball Park,2602,2,0,21,28877,81,182,May 29, 2015,
Miller Park,32,2,0,14,39552,70,178,May 30, 2015,
AT&T Park,2395,1,1,18,42005,58,171,May 30, 2015,
Globe Life Park in Arlington,13,0,0,18,42831,76,169,May 30, 2015,
Minute Maid Park,2392,2,0,11,29720,73,149,May 30, 2015,
Safeco Field,680,2,0,14,32287,72,184,May 30, 2015,
Citizens Bank Park,2681,4,0,14,23510,86,203,May 30, 2015,
Angel Stadium of Anaheim,1,7,0,10,40369,70,170,May 30, 2015,
Busch Stadium,2889,1,0,11,44754,70,173,May 30, 2015,
